datetime,TATACHEM_open,TATACHEM_high,TATACHEM_low,TATACHEM_close,TATACHEM_volume
2023-07-27 11:39:59,992.45,992.45,992.0,992.05,268.0
2023-07-27 11:40:59,992.4,992.4,992.4,992.4,68.0
2023-07-27 11:41:59,992.4,992.5,992.3,992.5,992.0
2023-07-27 11:42:59,992.5,992.85,992.4,992.85,1200.0
2023-07-27 11:43:59,992.85,993.7,992.5,993.7,2742.0
2023-07-27 11:44:59,993.7,993.75,993.0,993.5,257.0
2023-07-27 11:45:59,993.5,993.65,993.25,993.25,260.0
2023-07-27 11:46:59,993.25,993.4,993.0,993.3,301.0
2023-07-27 11:47:59,993.3,993.3,993.0,993.05,574.0
2023-07-27 11:48:59,993.3,993.3,993.0,993.0,408.0
2023-07-27 11:49:59,993.0,993.35,993.0,993.0,1116.0
2023-07-27 11:50:59,993.0,993.55,993.0,993.4,122.0
2023-07-27 11:51:59,993.35,993.65,993.0,993.3,6067.0
2023-07-27 11:52:59,993.3,993.65,993.0,993.55,330.0
2023-07-27 11:53:59,993.6,993.6,993.0,993.35,447.0
2023-07-27 11:54:59,993.35,993.6,993.1,993.25,239.0
2023-07-27 11:55:59,993.25,993.5,993.05,993.05,103.0
2023-07-27 11:56:59,993.05,993.5,993.0,993.5,177.0
2023-07-27 11:57:59,993.5,993.5,993.0,993.3,638.0
2023-07-27 11:58:59,993.25,993.3,992.75,992.9,278.0
2023-07-27 11:59:59,992.9,993.4,992.9,993.4,3533.0
2023-07-27 12:00:59,993.4,993.95,993.4,993.95,819.0
2023-07-27 12:01:59,993.95,994.0,993.7,993.7,1121.0
2023-07-27 12:02:59,993.7,994.0,993.4,993.7,341.0
2023-07-27 12:03:59,993.7,993.7,993.05,993.15,417.0
2023-07-27 12:04:59,993.6,993.65,993.05,993.1,1283.0
2023-07-27 12:05:59,993.35,993.5,993.05,993.35,839.0
2023-07-27 12:06:59,993.35,993.5,992.8,993.0,2618.0
2023-07-27 12:07:59,993.0,993.35,992.8,992.8,1541.0
2023-07-27 12:08:59,993.35,993.35,992.85,993.05,2422.0
2023-07-27 12:09:59,993.05,993.7,992.85,993.2,9867.0
2023-07-27 12:10:59,993.4,993.8,993.4,993.8,1083.0
2023-07-27 12:11:59,993.8,993.8,993.0,993.15,987.0
2023-07-27 12:12:59,993.6,993.7,993.0,993.0,1149.0
