datetime,NIFTY BANK_open,NIFTY BANK_high,NIFTY BANK_low,NIFTY BANK_close
2023-05-05 13:44:59,43076.4,43091.35,43056.65,43070.05
2023-05-05 13:45:59,43072.85,43072.85,43036.8,43051.3
2023-05-05 13:46:59,43047.05,43047.05,42981.65,42996.75
2023-05-05 13:47:59,42996.85,43016.25,42990.5,43008.0
2023-05-05 13:48:59,43015.2,43016.35,42984.1,42985.5
2023-05-05 13:49:59,42991.7,42991.7,42956.2,42976.8
2023-05-05 13:50:59,42976.55,42983.4,42934.75,42934.75
2023-05-05 13:51:59,42929.65,42941.6,42916.95,42941.6
2023-05-05 13:52:59,42940.3,42970.45,42925.95,42925.95
2023-05-05 13:53:59,42933.55,42959.8,42914.35,42959.8
2023-05-05 13:54:59,42958.5,42989.8,42949.25,42983.75
2023-05-05 13:55:59,42988.45,43024.05,42984.25,43007.8
2023-05-05 13:56:59,43005.15,43020.0,43002.95,43007.45
2023-05-05 13:57:59,43009.6,43035.05,42993.35,43026.4
2023-05-05 13:58:59,43029.85,43029.85,43006.75,43008.4
2023-05-05 13:59:59,43008.3,43020.2,42999.15,43017.1
2023-05-05 14:00:59,43017.6,43051.9,43016.65,43043.45
2023-05-05 14:01:59,43042.6,43058.65,43030.5,43034.0
2023-05-05 14:02:59,43035.85,43036.1,43016.7,43017.65
2023-05-05 14:03:59,43021.25,43021.25,42981.25,42999.55
2023-05-05 14:04:59,42999.05,43002.65,42975.2,42975.2
2023-05-05 14:05:59,42981.6,42987.0,42946.7,42987.0
2023-05-05 14:06:59,42985.0,43018.1,42984.9,43007.6
2023-05-05 14:07:59,43008.25,43009.75,42992.45,43009.1
2023-05-05 14:08:59,43007.15,43050.35,42996.65,43027.25
2023-05-05 14:09:59,43027.35,43027.35,42983.9,42992.65
2023-05-05 14:10:59,42995.95,43017.2,42990.7,42996.45
2023-05-05 14:11:59,42995.6,42998.2,42968.15,42969.35
2023-05-05 14:12:59,42970.4,42981.0,42965.65,42975.95
2023-05-05 14:13:59,42977.65,43006.7,42977.65,43001.0
2023-05-05 14:14:59,42997.35,43006.6,42983.45,42996.4
2023-05-05 14:15:59,42994.8,43008.7,42980.25,42986.35
2023-05-05 14:16:59,42983.7,42993.4,42952.0,42968.5
2023-05-05 14:17:59,42970.75,42992.45,42959.3,42992.15
2023-05-05 14:18:59,42991.85,43004.0,42988.1,42988.55
2023-05-05 14:19:59,42987.55,42991.15,42954.6,42954.6
2023-05-05 14:20:59,42958.7,42994.8,42954.25,42994.8
2023-05-05 14:21:59,42991.5,43025.3,42987.1,42991.75
2023-05-05 14:22:59,43000.85,43006.3,42981.7,42981.7
2023-05-05 14:23:59,42980.9,43010.0,42980.9,42995.35
2023-05-05 14:24:59,42994.5,43004.3,42976.1,42976.1
2023-05-05 14:25:59,42974.75,42981.25,42962.2,42962.3
2023-05-05 14:26:59,42964.65,42974.85,42938.1,42939.4
2023-05-05 14:27:59,42936.2,42936.2,42862.6,42872.7
2023-05-05 14:28:59,42875.15,42897.15,42870.35,42894.65
2023-05-05 14:29:59,42892.55,42892.55,42870.5,42879.35
2023-05-05 14:30:59,42874.0,42886.55,42844.15,42886.55
2023-05-05 14:31:59,42879.5,42899.2,42874.35,42874.8
2023-05-05 14:32:59,42874.75,42889.0,42843.2,42843.2
2023-05-05 14:33:59,42841.55,42870.3,42829.7,42865.95
2023-05-05 14:34:59,42866.8,42889.05,42859.3,42884.1
2023-05-05 14:35:59,42886.45,42886.45,42851.9,42861.25
2023-05-05 14:36:59,42858.9,42876.85,42852.9,42868.45
2023-05-05 14:37:59,42869.35,42880.6,42864.4,42880.6
2023-05-05 14:38:59,42877.05,42915.5,42874.95,42908.75
2023-05-05 14:39:59,42909.5,42909.5,42877.8,42889.35
2023-05-05 14:40:59,42890.85,42915.8,42884.45,42915.8
2023-05-05 14:41:59,42916.75,42937.05,42913.35,42919.0
2023-05-05 14:42:59,42917.9,42929.75,42906.65,42926.75
2023-05-05 14:43:59,42926.5,42927.8,42900.55,42913.7
2023-05-05 14:44:59,42916.25,42924.55,42899.45,42910.65
2023-05-05 14:45:59,42905.05,42932.5,42898.85,42911.05
2023-05-05 14:46:59,42913.05,42913.05,42838.95,42849.6
2023-05-05 14:47:59,42845.4,42884.85,42842.9,42878.55
2023-05-05 14:48:59,42873.0,42890.15,42862.9,42876.05
2023-05-05 14:49:59,42872.4,42905.3,42862.7,42898.9
2023-05-05 14:50:59,42904.55,42905.55,42857.7,42859.6
2023-05-05 14:51:59,42859.25,42859.25,42805.7,42805.7
